web-scraper-order,web-scraper-start-url,title,title-href,reviews,price
1611930172-5056,https://www.daraz.pk/health-beauty-tools/?location=-178&page=17&price=100-700&rating=4,Skin Therap 0.5 Derma Roller With 540 Micro Needle,https://www.daraz.pk/products/derma-roller-smoothen-skin-reduce-fine-lines-i102134962-s1247848187.html?search=1,-1750,Rs. 225
1611930067-4368,https://www.daraz.pk/health-beauty-tools/?location=-178&page=34&price=100-700&rating=4,Mini Hair Straightner And Straightener,https://www.daraz.pk/products/mini-hair-straightner-and-straightener-i123680844-s1280830992.html?search=1,-1419,Rs. 545
1611930098-4561,https://www.daraz.pk/health-beauty-tools/?location=-178&page=29&price=100-700&rating=4,"Tinkle Eyebrow Razor 3 Pack, Eyebrow Face Hair Removal & Shaper  (3 Pieces)",https://www.daraz.pk/products/tinkle-eyebrow-razor-3-pack-eyebrow-face-hair-removal-shaper-3-pieces-i133863495-s1294250511.html?search=1,-834,Rs. 132
1611929857-3027,https://www.daraz.pk/health-beauty-tools/?location=-178&page=68&price=100-700&rating=4,Flawless Facial Hair Remover with free rechargeable heavy duty battery,https://www.daraz.pk/products/flawless-facial-hair-remover-with-free-rechargeable-heavy-duty-battery-i112288040-s1263782757.html?search=1,-805,Rs. 399
1611930270-5686,https://www.daraz.pk/health-beauty-tools/?location=-178&page=1&price=100-700&rating=4,Skin Therap 0.5 Derma Roller With 540 Micro Needle,https://www.daraz.pk/products/skin-therap-05-derma-roller-with-540-micro-needle-i103786404-s1250034511.html?search=1,-681,Rs. 259
1611930264-5674,https://www.daraz.pk/health-beauty-tools/?location=-178&page=2&price=100-700&rating=4,5 in 1 Facial Electric Cleanser & Massager,https://www.daraz.pk/products/5-in-1-facial-electric-cleanser-massager-i3116316-s12450645.html?search=1,-582,Rs. 399
1611929956-3643,https://www.daraz.pk/health-beauty-tools/?location=-178&page=52&price=100-700&rating=4,Flawless Women Painless Hair Remover Face Facial Hair Remover,https://www.daraz.pk/products/flawless-women-painless-hair-remover-face-facial-hair-remover-i130488323-s1290354091.html?search=1,-531,Rs. 399
1611930073-4426,https://www.daraz.pk/health-beauty-tools/?location=-178&page=33&price=100-700&rating=4,Facial Hair Remover,https://www.daraz.pk/products/facial-hair-remover-i1552911-s9380481.html?search=1,-519,Rs. 349
1611930098-4573,https://www.daraz.pk/health-beauty-tools/?location=-178&page=29&price=100-700&rating=4,Facial Hair Remover,https://www.daraz.pk/products/facial-hair-remover-i108168953-s1257340560.html?search=1,-483,Rs. 325
1611929919-3401,https://www.daraz.pk/health-beauty-tools/?location=-178&page=58&price=100-700&rating=4,Pack Of 2 - Silicone Nose Shapers Kit,https://www.daraz.pk/products/pack-of-2-silicone-nose-shapers-kit-i100260529-s1222944293.html?search=1,-440,Rs. 136
1611929807-2685,https://www.daraz.pk/health-beauty-tools/?location=-178&page=76&price=100-700&rating=4,Flawless Laser Facial Hair Remover For Women Painless Hair Remover For Gentle And Smooth Skin For All Body Parts Ladies Shaver Machine With Heavy Duty Batteries,https://www.daraz.pk/products/flawless-laser-facial-hair-remover-for-women-painless-hair-remover-for-gentle-and-smooth-skin-for-all-body-parts-ladies-shaver-machine-with-heavy-duty-batteries-i133609818-s1297690123.html?search=1,-430,Rs. 359
1611929981-3832,https://www.daraz.pk/health-beauty-tools/?location=-178&page=48&price=100-700&rating=4,Mini Electronic Hair Crimper Curling Iron,https://www.daraz.pk/products/mini-electronic-hair-crimper-curling-iron-i131457634-s1291428836.html?search=1,-413,Rs. 399
1611929950-3621,https://www.daraz.pk/health-beauty-tools/?location=-178&page=53&price=100-700&rating=4,Facial Hair Remover Finishing Touch Shape Lipstick Flawless Women's Painless Hair Remover with free heavy duty battery,https://www.daraz.pk/products/facial-hair-remover-finishing-touch-shape-lipstick-flawless-womens-painless-hair-remover-with-free-heavy-duty-battery-i114896100-s1289998689.html?search=1,-412,Rs. 549
