Foldable Hair Dryer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Threading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Threading Machine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini Electronic Hair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Remover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beauty Face,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronic Hair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini Electronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini Straightener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Favourite Mini Straightener,0,1,70,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,423,398,474,395,590,474,474,499,474,424
Girls Favourite Mini,0,1,70,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,423,398,474,395,590,499,474,474,499,474
Girls Favourite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Threading Machine,0,3,100,85,13,50,4,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,339,785,"1,302",313,627,360,633,"38,500",712,"1,175"
Anti Snore Device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foldable Hair,1,0,1,5,2,0,0,0,40,36,15,13,1,0,0,0,0,0,0,2,2,2,38,"1,499",750,594,"1,249","1,044",599,625,619,565
Sleep Aid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snore Device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Dryer,14,3,87,108,90,13,14,2,0,0,1,0,2,3,1,0,0,0,0,0,0,0,"1,345","1,289","1,234","1,219","4,199",750,"1,349",594,"1,156","1,390"
Derma Roller,9,3,711,107,28,76,9,5,2,2,19,1,2,1,0,0,0,0,0,0,0,0,239,399,339,"1,136",407,333,395,199,435,284
Full Body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Crimper,0,3,6,28,273,17,25,4,10,2,85,99,0,4,1,0,0,1,0,0,0,0,"1,699",599,"1,225",999,699,699,625,"1,518","1,350",999
Vibration Full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini Hair,2,2,1537,39,70,14,6,10,7,5,1,1,16,5,0,0,0,9,0,0,2,0,499,455,423,409,426,489,422,436,398,494
Silicon Sponge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facial Hair Remover,4,8,358,109,100,63,85,44,56,25,70,78,10,4,3,5,5,5,21,3,1,2,66,92,339,799,785,370,320,"1,070",349,532
Favourite Mini,0,1,70,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,423,398,180,474,395,590,499,474,474,499
Mimo Mini Vibration,0,1,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,222,299,249,259,450,247,450,450,299
Facial Hair,4,10,358,131,65,401,126,109,69,871,350,100,10,20,8,26,7,4,17,21,6,3,66,98,375,98,675,92,375,375,94,339
Micro Anti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beauty Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimo Mini,0,1,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,222,299,249,259,450,247,450,439,439
Vibration Full Body,0,1,1,0,1,0,0,13,74,8,10,4,1,0,0,0,0,0,0,2,2,1,365,249,"1,186","6,999","5,319","3,999",299,156,180,190
Anti Snore,3,2,50,18,73,16,22,3,0,13,1,1,0,2,1,0,0,1,0,0,0,0,141,148,213,130,148,250,299,499,"1,542",168
Collections Silicone Gel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
